feature,importance
risk_score,1.0100543935195205
MonthlyCharges,0.46915923717442415
Contract,0.4064632815853517
OnlineSecurity,0.3728905524305843
charge_ratio,0.3359717434171528
services_count,0.288174266340954
TechSupport,0.2637000162687327
tenure,0.1897456411359467
OnlineBackup,0.18324218009002194
Dependents,0.17009369831408916
DeviceProtection,0.15702870358246676
TotalCharges,0.12135752127524845
charge_per_service,0.10610376371926034
gender,0.0993203760845245
PhoneService,0.09227288819097693
StreamingTV,0.08823940660897413
PaymentMethod_Bank transfer (automatic),0.08715435013316347
PaymentMethod_Credit card (automatic),0.08079185886047774
PaymentMethod_Mailed check,0.07395598168208926
StreamingMovies,0.07361227664143406
PaymentMethod_Electronic check,0.07202415931482399
tenure_group_loyal,0.05995534967240598
has_internet,0.05812269169101512
PaperlessBilling,0.05682609979281235
Partner,0.050675279043599204
tenure_group_established,0.03384510015664276
MultipleLines,0.031634081791865894
electronic_check,0.03080523078167809
InternetService_Fiber optic,0.029136376869630623
tenure_group_developing,0.027110557245478336
SeniorCitizen,0.02405937063265592
high_risk_contract,0.019046533206301338
InternetService_DSL,0.013883248491355001
InternetService_No,0.004385461629453623
tenure_group_new,0.003101545601515292
fiber_optic,0.0027692217063595382
